"Day","PriceHour1","PriceHour2","PriceHour3","PriceHour4","PriceHour5","PriceHour6","PriceHour7","PriceHour8","PriceHour9","PriceHour10","PriceHour11","PriceHour12","PriceHour13","PriceHour14","PriceHour15","PriceHour16","PriceHour17","PriceHour18","PriceHour19","PriceHour20","PriceHour21","PriceHour22","PriceHour23","PriceHour24"
"2","0,6327","0,62385","0,61273","0,60092","0,58548","0,60262","0,61511","0,65631","0,67924","0,65949","0,64406","0,63146","0,62567","0,62169","0,60308","0,60104","0,60433","0,6192","0,62203","0,60489","0,5982","0,5755","0,54337","0,42964"
"3","0,49092","0,50422","0,43613","0,19653","0,10003","0,10321","0,19323","0,40078","0,53945","0,55071","0,56196","0,55798","0,55491","0,53332","0,49944","0,56401","0,59492","0,62686","0,6513","0,63868","0,6147","0,60072","0,57753","0,4816"
"4","0,46846","0,35516","0,07607","0,00797","0","0","0","0,0123","0,13095","0,27295","0,38659","0,4277","0,43817","0,49351","0,49385","0,51492","0,55318","0,58279","0,59076","0,58632","0,58393","0,57892","0,53815","0,44899"
"5","0,13414","0,12127","0,11011","0,05682","0,07982","0,19369","0,53974","0,6313","0,69256","0,64746","0,61285","0,58028","0,57903","0,59076","0,61467","0,63528","0,69142","0,77967","0,7832","0,70417","0,68869","0,67923","0,64109","0,59543"
"6","0,61262","0,60545","0,60579","0,6059","0,62127","0,65156","0,6962","0,7865","0,84719","0,77762","0,72763","0,70827","0,70144","0,69859","0,70394","0,70429","0,71317","0,73845","0,7266","0,70782","0,688","0,67012","0,6609","0,62697"
"7","0,61028","0,60753","0,61063","0,61785","0,64238","0,68928","0,83133","0,99367","0,99746","0,9806","0,93061","0,89438","0,86928","0,89759","0,88647","0,99447","1,11554","1,33648","1,51338","1,22435","1,11623","0,97384","0,92912","0,88177"
"8","0,81822","0,81615","0,80275","0,79198","0,78934","0,84881","0,96534","1,26038","1,52563","1,30106","1,12048","1,05265","1,02412","1,04245","1,08736","1,08141","1,06571","1,20916","1,11143","0,98608","0,95331","0,92363","0,86622","0,756"
"9","0,76526","0,74683","0,73569","0,72317","0,71635","0,75229","0,76697","0,79177","0,85866","0,83818","0,81293","0,80485","0,79086","0,79177","0,79734","0,79769","0,80542","0,86958","0,86389","0,80701","0,76504","0,75252","0,73898","0,71987"
"10","0,69773","0,70789","0,71142","0,71131","0,71154","0,72295","0,71485","0,72192","0,73881","0,75","0,76997","0,76769","0,75525","0,74315","0,76358","0,77613","0,78652","0,98371","0,96899","0,78811","0,74498","0,73242","0,72329","0,70675"
"11","0,66023","0,64279","0,61874","0,59024","0,57998","0,59263","0,60221","0,638","0,6494","0,66764","0,69716","0,72919","0,71871","0,70366","0,7219","0,73763","0,77559","0,86712","0,89186","0,82951","0,84774","0,77399","0,75108","0,70697"
"12","0,71073","0,68326","0,67015","0,65852","0,67493","0,71825","0,76248","0,94532","1,15107","1,06809","0,94612","0,87544","0,74424","0,72669","0,72247","0,73546","0,86416","1,0372","1,06033","0,98396","0,87237","0,77445","0,72669","0,68326"
"13","0,73387","0,72064","0,69648","0,67209","0,67049","0,69397","0,73216","0,83771","0,98237","0,82973","0,76442","0,72805","0,68998","0,6869","0,71928","0,78254","0,86382","1,04939","1,1032","1,00551","0,86302","0,79542","0,75461","0,71893"
"14","0,68633","0,67173","0,65147","0,64003","0,6432","0,67535","0,69607","0,79953","0,87628","0,76557","0,7229","0,71644","0,70897","0,71203","0,75719","0,79229","0,86145","0,91194","0,96095","0,92654","0,83938","0,76387","0,74735","0,70173"
"15","0,67829","0,67196","0,66279","0,66109","0,67365","0,69131","0,70071","0,89473","0,90673","0,86224","0,81538","0,76738","0,73399","0,72912","0,76693","0,825","0,86541","0,92835","0,92835","0,82127","0,75538","0,6938","0,68158","0,65667"
"16","0,6044","0,59318","0,58286","0,57107","0,58751","0,61154","0,62628","0,67583","0,69499","0,67299","0,6349","0,61755","0,61223","0,61211","0,62662","0,65179","0,65962","0,66064","0,6561","0,63875","0,62288","0,61778","0,60792","0,60758"
"17","0,58407","0,56794","0,57146","0,5835","0,60077","0,61077","0,61508","0,63167","0,6695","0,69677","0,68268","0,66814","0,64133","0,62213","0,64133","0,67109","0,67916","0,72358","1,16223","0,98443","0,8815","0,7613","0,69518","0,67155"
"18","0,65226","0,60684","0,58356","0,57141","0,56062","0,55551","0,53825","0,55608","0,53689","0,51088","0,49805","0,50225","0,5135","0,53927","0,56959","0,58799","0,609","0,74481","0,81056","0,77672","0,71131","0,65646","0,63125","0,59548"
"19","0,58401","0,56687","0,54506","0,53007","0,54813","0,5856","0,67054","0,87199","0,92445","0,82736","0,78455","0,76093","0,68667","0,66168","0,70302","0,73425","0,76786","0,84235","1,07661","0,88187","0,68996","0,63761","0,60718","0,59843"
"20","0,60775","0,59707","0,5931","0,58844","0,5831","0,59446","0,68054","0,97271","0,98827","0,86608","0,77002","0,67134","0,60775","0,5839","0,5881","0,62239","0,63511","0,75821","0,74413","0,63193","0,59696","0,58526","0,57379","0,56925"
"21","0,54917","0,53086","0,5295","0,5061","0,50486","0,53606","0,55754","0,60355","0,62514","0,63509","0,62808","0,6257","0,58489","0,56511","0,58354","0,57246","0,5971","0,63011","0,62005","0,59552","0,55935","0,53538","0,50147","0,48157"
